2018-06-07 21:38:52,720 -> 

Iteration Epsilon=50, Mu=5 and Delta=5 has started...
1, 5, 1702 3499 15184 16409 18766
1, 5, 11179 12500 13148 13716 14981
1, 5, 4897 5844 11179 12500 13716 14981 15034
1, 5, 9658 10752 11154 14569 15921 17785
1, 5, 4897 5019 5844 9637 11179 11845 12500 13716 15034
1, 5, 9658 10752 11154 12906 14569 15306
1, 5, 7185 9658 10752 11154 14569 15306
1, 5, 4268 4563 9897 11112 13891 19309
1, 5, 1851 4105 10883 17744 18354 19624
1, 5, 142 824 1204 2778 9945
1, 5, 3191 3962 4404 4676 9435 12378
1, 5, 2740 4325 10793 18012 18518
1, 5, 2740 4325 8529 18012 18518
1, 5, 4325 8529 10793 18012 18518
1, 5, 4325 8529 13541 18012 18518
1, 5, 3054 3962 4404 4676 12378 17337
1, 5, 2315 3054 4404 4676 12378 17337
1, 5, 2315 3054 4404 4676 5418 12378
1, 5, 3223 4684 6525 12512 12835 14044
1, 5, 6525 9044 12512 12835 17973
1, 5, 6525 12512 12835 14044 17973
1, 5, 1646 6364 7062 12245 13269 13504
1, 5, 1646 6364 7062 11050 12245 13504
1, 5, 3067 3223 4684 12835 14044
1, 5, 3223 6525 12512 14044 17979
1, 5, 167 881 3462 4608 9173
1, 5, 1646 5936 6364 7062 11050 12245
1, 5, 7897 10424 13525 14316 18660
1, 5, 974 4115 4335 5652 7038 12287 18637
1, 5, 974 4115 4335 5652 17834 18637
1, 5, 974 4335 5652 7038 8514 17834 18637
1, 5, 974 4115 4335 5652 17916 18637
1, 5, 974 4335 7038 8514 12287 18637
1, 5, 979 4335 7038 8514 12287 18637
1, 5, 1691 2862 5801 9891 18817
1, 5, 1691 2862 5801 6031 14491 18817
1, 5, 2862 5801 9891 15917 18817
1, 5, 2307 4172 4313 6874 10409
1, 5, 2196 2307 4172 4313 10409
1, 5, 7901 9829 10319 10822 12211 14529
1, 5, 7901 10319 10822 12211 14529 16605
1, 5, 2360 7901 9829 10822 17039
1, 5, 1890 4315 6414 12845 13016
1, 5, 1890 6414 7489 12845 13016
1, 5, 2948 5240 6554 15769 17094
1, 5, 1059 3272 14434 15363 17046
1, 5, 2843 4977 5709 15702 15974
1, 5, 6152 9113 9274 17783 18836
1, 5, 6280 8484 14952 16703 17961
1, 5, 8484 14952 16703 17024 17961
1, 5, 2431 7051 8468 14248 15725
1, 5, 8484 8538 14952 17024 17961
1, 5, 2783 7783 8741 9081 9805 15033 16240 16641 16714 16849 19387
1, 5, 2783 7783 8741 9081 9805 13759 15033 16240 16641 16714 19387
1, 5, 2783 9081 13759 14650 15033 19360 19387
1, 5, 2783 4159 9081 11730 13759 14650 15033
1, 5, 4159 9081 11730 13759 14650 19360
1, 5, 387 2783 4159 9081 11730 14650 15033 19387
1, 5, 387 4159 4751 9081 11730 14650 15033
1, 5, 387 2783 7415 9805 15033 16849 19387
1, 5, 1906 4441 6904 7415 9873 11068
1, 5, 387 2783 7415 14650 15033 16849 19387
1, 5, 2783 9081 11730 13759 14650 15033 19387
1, 5, 9081 11730 13759 14650 15033 19360
1, 5, 387 2783 9081 11730 14650 15033 16849 19387
1, 5, 2783 7783 8741 9081 9805 14650 15033 16240 16641 16849 19387
1, 5, 2783 7783 8741 9081 9805 13759 14650 15033 16240 16641 19387
1, 5, 621 6904 7009 9873 13947 18496
1, 5, 621 1906 4441 6766 6904 7009 7929 9873 13814 16340 18496
1, 5, 621 4441 6766 6904 7009 7929 9873 13814 16340 17166 18496
1, 5, 621 2514 6766 6904 7929 9873 13814 16340 17166 18496
1, 5, 621 1906 4441 6904 7009 9873 11068 12283 13814 18496
1, 5, 621 1906 4441 6904 7009 9873 12283 13814 16340 18496
1, 5, 2127 2579 3158 12868 13537 14404
1, 5, 2127 2579 3158 4574 5032 6691 7530 12197 12868
1, 5, 2127 2579 3512 12868 13537 14404
1, 5, 2127 2579 3158 5032 6691 12197 12868 13537
1, 5, 2579 3512 6337 12427 12868 13537 14404 16044
1, 5, 2127 2579 8014 12197 12868
1, 5, 2127 3158 12197 12868 13537 16724
1, 5, 3158 4574 5032 5437 6691 7530 12197 19421
1, 5, 3512 6337 12427 12868 13759 16044
1, 5, 2127 3158 12868 13537 14404 16724
1, 5, 3512 6337 12427 12868 13537 14404 16044 16724
1, 5, 3512 6337 7783 12427 13537 14404 16044 16714 16724
1, 5, 3215 3512 5434 6337 7783 8741 12427 16044 16240 16641 16714
1, 5, 3512 6337 7783 8741 9805 12427 13759 16044 16240 16641 16714
1, 5, 3215 3512 6337 7783 8741 9805 12427 16044 16240 16641 16714
1, 5, 3512 6337 7783 8741 9805 12427 16044 16240 16641 16714 19387
1, 5, 3215 5434 6337 7783 8741 9805 12427 16044 16240 16641 16714
1, 5, 2127 3512 6337 12868 13537 14404 16724
1, 5, 6337 7783 8741 9805 12427 13759 16044 16240 16641 16714 19387
1, 5, 2783 3215 5434 7783 8741 9805 10475 14188 15033 16240 16641 16714 16849 19387
1, 5, 2783 7783 8741 9805 12427 13759 15033 16044 16240 16641 16714 19387
1, 5, 3215 7783 8741 9805 12427 16044 16240 16641 16714 19387
1, 5, 3512 6337 7783 12427 13759 14404 16044 16240 16641 16714
1, 5, 387 2783 8741 9081 9805 13759 14650 15033 16240 16641 16849 19387
1, 5, 3215 5434 7783 8741 9805 16044 16240 16641 16714 19387
1, 5, 387 3215 5434 16325 16849
1, 5, 387 2783 3215 5434 8741 9805 14188 15033 16240 16641 16849 19387
1, 5, 2783 3215 7783 8741 9805 16044 16240 16641 16714 19387
1, 5, 2783 6337 7783 8741 9805 12427 16044 16240 16641 16714 19387
1, 5, 3215 5434 7783 8741 10475 12427 14188 16044 16240 16641 16714
1, 5, 3215 5434 8741 10475 14188 14264
1, 5, 3512 6337 7783 8741 12427 14404 16044 16240 16641 16714
1, 5, 3215 5434 7783 8741 9805 10475 14188 16044 16240 16641 16714
1, 5, 3215 5434 10475 14188 16325 16790 16849
1, 5, 2003 3078 3215 5434 5733 10475 14188 14264 16325 16790
1, 5, 3215 5434 5733 10475 14124 14188 14264 16325 16790
1, 5, 2003 3078 5434 5733 10475 14124 14188 14264 16325 16790
1, 5, 2003 3078 5733 10475 13044 14124 14188 14264 16325 16790
1, 5, 2003 3020 3078 5434 5733 10475 13044 14188 14264 16325 16790
1, 5, 757 2003 2095 3078 5733 13044 14264 16325 16790
1, 5, 757 2095 3078 5733 13044 14124 14264 16325 16790
1, 5, 2003 2095 3020 3078 5733 13044 14124 14264 16325 16790
1, 5, 2514 2634 8895 9054 14220
1, 5, 621 2514 6766 7929 9054 9873 13814 16340 17166 18496
1, 5, 2514 6766 7929 8895 9054 13814 16340 17166
1, 5, 2514 2634 8895 9054 17166
1, 5, 962 6596 7168 7764 8291
1, 5, 2127 3158 4574 5032 6691 7530 12197 19421
1, 5, 2127 3158 4574 5032 5437 6691 7530 12197
1, 5, 2003 3215 5434 14188 16325 16790 16849
1, 5, 1128 2201 6070 8151 11385
1, 5, 10902 11509 13746 14130 15502
1, 5, 10902 11509 13746 14130 17726
1, 5, 10902 13746 14130 17726 18995
1, 5, 10153 10521 10902 14130 16791 17624 18995
1, 5, 10521 10902 14130 16791 17624 17726 18995
1, 5, 8752 9614 10902 14549 19562
1, 5, 8752 9614 12541 14549 17434 19471 19562
1, 5, 9614 10153 14549 17434 17624 19562
1, 5, 8752 9614 12541 16075 19471 19562
1, 5, 1498 12541 14549 17434 19471
1, 5, 1604 3658 10153 14549 17434
1, 5, 1604 3658 10153 14549 17624
1, 5, 3658 10153 14549 17434 17624
1, 5, 10153 10521 10902 16791 17624 17726 18995
1, 5, 825 10153 10521 11800 16791 17624 17726 18995
1, 5, 825 7741 10521 11800 14772 16791 17129 17726 18995
1, 5, 9614 10902 14549 17624 19562
1, 5, 1604 3658 10153 10521 17624 18995
1, 5, 1604 3658 7741 8105 10521
1, 5, 825 7338 7355 7741 8105
1, 5, 825 7338 7741 8105 11838
1, 5, 1604 3658 7741 10521 18995
1, 5, 4916 5572 7338 7355 7741 8105 11838
1, 5, 1604 4202 7338 7741 8105 11838 14168 17544
1, 5, 4202 7338 7355 7741 8105 11838 14168 17544
1, 5, 825 7741 8105 10521 11800 18995
1, 5, 11295 12300 12369 16778 18176
1, 5, 12300 12369 16778 17067 18176
1, 5, 329 3640 4202 7338 7355 8105 11838 14168 17544
1, 5, 329 1604 3640 4202 7338 8105 9416 11838 14168 17544
1, 5, 329 1604 3640 4202 7338 9416 11764 11838 14168 17544
1, 5, 329 3640 4828 9416 11764 19277 19397
1, 5, 3640 4202 7338 7741 8105 11838 14168 17544
1, 5, 329 1604 3640 3658 4202 7338 8105 9416 11838 17544
1, 5, 329 1604 3640 3658 4202 7338 9416 11764 17544
